"timestamp","source","message","level"
"2025-04-22T16:37:18.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:18.000Z","TK_AZ-OLT_KV03","TK_AZ-OLT_KV03 auditd[0]: ONU Link LOST            PON 0/4 ONU 7 4C:D7:C8:2B:7B:AA..","3"
"2025-04-22T16:37:18.000Z","TK_AZ_OLT-VE08","TK_AZ_OLT-VE08 auditd[0]: ONU Link Discover        PON 0/6 ONU 68 4C:D7:C8:2B:29:C6..","3"
"2025-04-22T16:37:18.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Deregister           PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:18.806Z","10.220.50.234","l2tp,ppp,info To_Management: connecting...","-1"
"2025-04-22T16:37:18.806Z","10.220.50.234","l2tp,ppp,info To_Management: initializing...","-1"
"2025-04-22T16:37:18.808Z","10.181.4.1","l2tp,info first L2TP UDP packet received from 92.55.120.77","-1"
"2025-04-22T16:37:18.831Z","10.252.1.24","system,info hotspot user B0:BE:76:05:65:83 removed by backoffice","-1"
"2025-04-22T16:37:18.887Z","10.181.4.1","l2tp,ppp,error <92.55.120.77>: user TK_AZ_Ohrid_NC is already active","-1"
"2025-04-22T16:37:18.899Z","10.220.50.234","l2tp,ppp,info To_Management: disconnected","-1"
"2025-04-22T16:37:18.899Z","10.220.50.234","l2tp,ppp,info To_Management: terminating... - failed to authenticate ourselves to peer","-1"
"2025-04-22T16:37:19.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:19.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Register             PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:19.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link LOST            PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:19.157Z","10.252.1.24","system,info item removed by backoffice","-1"
"2025-04-22T16:37:20.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:20.000Z","TK_AZ-OLT_OH_Budva_01","TK_AZ-OLT_OH_Budva_01 auditd[0]: ONU Register             PON 0/3 ONU 12 llid 52 70:B6:4F:61:1C:C0..","3"
"2025-04-22T16:37:20.000Z","TK_AZ_OLT-VE14","TK_AZ_OLT-VE14 auditd[0]: ONU Register             PON 0/1 ONU 46 llid 37 70:B6:4F:61:15:F0..","3"
"2025-04-22T16:37:20.000Z","TK_AZ_OLT-VE14","TK_AZ_OLT-VE14 auditd[0]: ONU Link LOST            PON 0/1 ONU 46 70:B6:4F:61:15:F0..","3"
"2025-04-22T16:37:20.000Z","TK_AZ_OLT-VE14","TK_AZ_OLT-VE14 auditd[0]: ONU Deregister           PON 0/1 ONU 46 llid 37 70:B6:4F:61:15:F0 ..","3"
"2025-04-22T16:37:20.603Z","10.220.4.1","hotspot,info,debug 1C:EF:03:E9:1D:46 (10.5.50.232): trying to log in by mac","-1"
"2025-04-22T16:37:20.606Z","10.220.4.1","hotspot,account,info,debug 1C:EF:03:E9:1D:46 (10.5.50.232): logged in","-1"
"2025-04-22T16:37:20.673Z","10.220.4.1","fetch,info Download from 10.181.4.6 FINISHED","-1"
"2025-04-22T16:37:20.791Z","10.220.16.1","hotspot,info,debug 00:E0:20:3F:ED:B6 (10.5.60.77): logged out: idle timeout","-1"
"2025-04-22T16:37:21.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:21.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:21.000Z","TK_AZ-OLT_OH_Budva_01","TK_AZ-OLT_OH_Budva_01 auditd[0]: ONU AUTH Success         PON 0/3 ONU 12 70:B6:4F:61:1C:C0..","3"
"2025-04-22T16:37:21.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU AUTH Success         PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:21.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link Discover        PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:21.685Z","10.252.1.3","dns,error cache full, not storing","-1"
"2025-04-22T16:37:21.714Z","10.252.1.24","dhcp,info dhcp-Users deassigned 10.5.59.159 from B0:BE:76:05:65:83","-1"
"2025-04-22T16:37:21.717Z","10.252.1.24","system,info dhcp lease removed by backoffice","-1"
"2025-04-22T16:37:21.719Z","10.252.1.3","dns,error cache full, not storing [ignoring repeated messages]","-1"
"2025-04-22T16:37:21.759Z","10.252.1.46","fetch,info Download from 10.181.4.6 FINISHED","-1"
"2025-04-22T16:37:21.814Z","10.252.1.24","system,info,account user backoffice logged out from 10.181.4.6 via api","-1"
"2025-04-22T16:37:22.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
